1649,1784,1500
1651,1786,1500
1652,1789,1500
1653,1792,1500
1655,1794,1500
1656,1797,1500
1658,1800,1500
1659,1803,1500
1664,1806,1500
1668,1809,1500
1672,1813,1500
1676,1816,1500
1681,1819,1500
1685,1823,1500
1689,1826,1500
1693,1829,1500
1698,1835,1500
1703,1840,1500
1708,1846,1500
1713,1851,1500
1718,1856,1500
1723,1862,1500
1728,1867,1500
1732,1873,1500
1735,1878,1500
1738,1884,1500
1742,1889,1500
1745,1894,1500
1747,1900,1500
1750,1905,1500
1753,1910,1500
1756,1916,1500
1754,1917,1500
1752,1918,1500
1749,1919,1500
1747,1921,1500
1745,1922,1500
1742,1923,1500
1740,1925,1500
1738,1926,1500
1729,1924,1500
1720,1922,1500
1712,1921,1500
1703,1919,1500
1694,1917,1500
1686,1916,1500
1677,1915,1500
1668,1914,1500
1662,1911,1500
1656,1908,1500
1650,1905,1500
1644,1902,1500
1638,1899,1500
1632,1896,1500
1626,1894,1500
1620,1891,1500
1613,1887,1500
1607,1883,1500
1600,1879,1500
1594,1875,1500
1587,1871,1500
1581,1867,1500
1574,1863,1500
1567,1859,1500
1564,1857,1500
1560,1855,1500
1556,1853,1500
1552,1852,1500
1549,1850,1500
1545,1848,1500
1541,1846,1500
1538,1844,1500
1533,1841,1500
1528,1839,1500
1524,1836,1500
1519,1833,1500
1514,1830,1500
1510,1827,1500
1505,1824,1500
1500,1822,1500
1498,1817,1500
1496,1812,1500
1493,1807,1500
1491,1802,1500
1488,1797,1500
1486,1792,1500
1484,1787,1500
1481,1782,1500
1479,1774,1500
1478,1766,1500
1476,1759,1500
1474,1751,1500
1473,1743,1500
1471,1736,1500
1469,1728,1500
1467,1721,1500
1467,1714,1500
1467,1707,1500
1467,1700,1500
1467,1693,1500
1467,1686,1500
1467,1679,1500
1467,1673,1500
1466,1666,1500
1465,1659,1500
1464,1653,1500
1462,1647,1500
1461,1640,1500
1459,1634,1500
1457,1628,1500
1456,1621,1500
1454,1615,1500
1448,1611,1500
1443,1607,1500
1437,1603,1500
1431,1598,1500
1425,1594,1500
1420,1590,1500
1414,1586,1500
1408,1583,1500
